k,g,i
"[-10.0, 28.7046972398361]","[-0.1, -4.4944176686639965]","[1, 26.000896052565572]"
"[-8.666666666666666, 28.70481777573111]","[-0.08666666666666667, -2.59743962009567]","[2, 26.60450548005947]"
"[-7.333333333333334, 28.70500929281546]","[-0.07333333333333333, -0.22950903736798878]","[3, 27.132659971465344]"
"[-6.0, 28.705340516606608]","[-0.060000000000000005, 2.746008678439388]","[4, 27.581027035073316]"
"[-4.666666666666667, 28.705988301608542]","[-0.04666666666666667, 6.489388271507761]","[5, 27.948212378064376]"
"[-3.333333333333334, 28.707526322908656]","[-0.03333333333333334, 11.13769967455356]","[6, 28.23599247849311]"
"[-2.0, 28.71268583781379]","[-0.020000000000000004, 16.66605985399951]","[7, 28.449090321683702]"
"[-0.6666666666666679, 28.730039758649294]","[-0.006666666666666668, 22.61844038437081]","[8, 28.59455502114416]"
"[0.6666666666666661, 28.730039758649294]","[0.006666666666666668, 27.38882272096404]","[9, 28.68091346685921]"
"[2.0, 28.71268583781379]","[0.020000000000000004, 28.71268583781379]","[10, 28.717294589180664]"
"[3.333333333333332, 28.707526322908656]","[0.033333333333333326, 28.026153590691642]","[11, 28.71268583781379]"
"[4.666666666666666, 28.705988301608542]","[0.04666666666666666, 27.147495065975416]","[12, 28.675404056136227]"
"[6.0, 28.705340516606608]","[0.06, 26.434590425052992]","[13, 28.61278980233232]"
"[7.333333333333332, 28.70500929281546]","[0.07333333333333333, 25.877183569931365]","[14, 28.531087779762323]"
"[8.666666666666664, 28.70481777573111]","[0.08666666666666667, 25.43078963159123]","[15, 28.43545845268177]"
"[10.0, 28.7046972398361]","[0.1, 25.061985977999726]","[16, 28.33006826488227]"
