Video Name,Method,Metric,Noise,Denoised,Time Taken (s)
sub001_2drt_03_vcv3_r1_video,Anisotropic,NRMSE,0.1959,0.1341,51.22
sub001_2drt_03_vcv3_r1_video,Anisotropic,PSNR,25.479,28.7657,51.22
sub001_2drt_03_vcv3_r1_video,Anisotropic,SSIM,0.857,0.8952,51.22
sub001_2drt_03_vcv3_r1_video,Bilateral,NRMSE,0.1959,0.1801,5.3
sub001_2drt_03_vcv3_r1_video,Bilateral,PSNR,25.479,26.2083,5.3
sub001_2drt_03_vcv3_r1_video,Bilateral,SSIM,0.857,0.7926,5.3
sub001_2drt_03_vcv3_r1_video,GSA,NRMSE,0.1959,0.2838,78.74
sub001_2drt_03_vcv3_r1_video,GSA,PSNR,25.479,25.6383,78.74
sub001_2drt_03_vcv3_r1_video,GSA,SSIM,0.857,0.868,78.74
sub001_2drt_03_vcv3_r1_video,JBL,NRMSE,0.1959,0.0708,8.99
sub001_2drt_03_vcv3_r1_video,JBL,PSNR,25.479,34.3129,8.99
sub001_2drt_03_vcv3_r1_video,JBL,SSIM,0.857,0.9701,8.99
sub001_2drt_02_vcv2_r2_video,Anisotropic,NRMSE,0.1953,0.1355,51.22
sub001_2drt_02_vcv2_r2_video,Anisotropic,PSNR,25.519,28.6874,51.22
sub001_2drt_02_vcv2_r2_video,Anisotropic,SSIM,0.8603,0.8942,51.22
sub001_2drt_02_vcv2_r2_video,Bilateral,NRMSE,0.1953,0.1835,5.3
sub001_2drt_02_vcv2_r2_video,Bilateral,PSNR,25.519,26.061,5.3
sub001_2drt_02_vcv2_r2_video,Bilateral,SSIM,0.8603,0.7877,5.3
sub001_2drt_02_vcv2_r2_video,GSA,NRMSE,0.1953,0.3123,78.74
sub001_2drt_02_vcv2_r2_video,GSA,PSNR,25.519,25.5146,78.74
sub001_2drt_02_vcv2_r2_video,GSA,SSIM,0.8603,0.8715,78.74
sub001_2drt_02_vcv2_r2_video,JBL,NRMSE,0.1953,0.0716,8.99
sub001_2drt_02_vcv2_r2_video,JBL,PSNR,25.519,34.2283,8.99
sub001_2drt_02_vcv2_r2_video,JBL,SSIM,0.8603,0.9691,8.99
sub001_2drt_01_vcv1_r2_video,Anisotropic,NRMSE,0.1955,0.1342,51.22
sub001_2drt_01_vcv1_r2_video,Anisotropic,PSNR,25.4458,28.7063,51.22
sub001_2drt_01_vcv1_r2_video,Anisotropic,SSIM,0.8571,0.893,51.22
sub001_2drt_01_vcv1_r2_video,Bilateral,NRMSE,0.1955,0.1799,5.3
sub001_2drt_01_vcv1_r2_video,Bilateral,PSNR,25.4458,26.1693,5.3
sub001_2drt_01_vcv1_r2_video,Bilateral,SSIM,0.8571,0.7885,5.3
sub001_2drt_01_vcv1_r2_video,GSA,NRMSE,0.1955,0.2786,78.74
sub001_2drt_01_vcv1_r2_video,GSA,PSNR,25.4458,25.5603,78.74
sub001_2drt_01_vcv1_r2_video,GSA,SSIM,0.8571,0.8717,78.74
sub001_2drt_01_vcv1_r2_video,JBL,NRMSE,0.1955,0.0723,8.99
sub001_2drt_01_vcv1_r2_video,JBL,PSNR,25.4458,34.0805,8.99
sub001_2drt_01_vcv1_r2_video,JBL,SSIM,0.8571,0.9683,8.99
sub001_2drt_02_vcv2_r1_video,Anisotropic,NRMSE,0.1966,0.1349,51.22
sub001_2drt_02_vcv2_r1_video,Anisotropic,PSNR,25.6908,28.9493,51.22
sub001_2drt_02_vcv2_r1_video,Anisotropic,SSIM,0.8597,0.8961,51.22
sub001_2drt_02_vcv2_r1_video,Bilateral,NRMSE,0.1966,0.182,5.3
sub001_2drt_02_vcv2_r1_video,Bilateral,PSNR,25.6908,26.3581,5.3
sub001_2drt_02_vcv2_r1_video,Bilateral,SSIM,0.8597,0.7925,5.3
sub001_2drt_02_vcv2_r1_video,GSA,NRMSE,0.1966,0.291,78.74
sub001_2drt_02_vcv2_r1_video,GSA,PSNR,25.6908,25.76,78.74
sub001_2drt_02_vcv2_r1_video,GSA,SSIM,0.8597,0.8713,78.74
