Video Name,NRMSE (Denoised),PSNR (Denoised),SSIM (Denoised),NRMSE (Noise),PSNR (Noise),SSIM (Noise)
sub061_2drt_01_vcv1_r1_video,0.1236,31.137,0.9305,0.1957,27.1526,0.8561
sub061_2drt_01_vcv1_r2_video,0.1235,31.0126,0.9284,0.1955,27.038,0.8532
sub061_2drt_02_vcv2_r1_video,0.1253,31.2561,0.933,0.1964,27.364,0.8601
sub061_2drt_02_vcv2_r2_video,0.1252,30.9932,0.9291,0.1956,27.1345,0.8584
sub061_2drt_03_vcv3_r1_video,0.1272,31.1804,0.9329,0.1962,27.4235,0.8618
sub061_2drt_03_vcv3_r2_video,0.1266,31.052,0.9304,0.196,27.261,0.8577
sub062_2drt_01_vcv1_r1_video,0.1258,27.7377,0.8732,0.1953,23.9201,0.818
sub062_2drt_01_vcv1_r2_video,0.1254,28.0175,0.8768,0.1956,24.163,0.8205
sub062_2drt_02_vcv2_r1_video,0.1252,28.6544,0.8829,0.1971,24.7201,0.8226
sub062_2drt_02_vcv2_r2_video,0.1253,28.2009,0.8775,0.196,24.3203,0.8202
sub062_2drt_03_vcv3_r1_video,0.1251,28.1816,0.8792,0.196,24.2819,0.8196
sub062_2drt_03_vcv3_r2_video,0.125,27.7418,0.8749,0.1948,23.8949,0.8175
sub063_2drt_01_vcv1_r1_video,0.1229,30.0052,0.9108,0.1961,25.9562,0.8258
sub063_2drt_01_vcv1_r2_video,0.124,29.7174,0.9063,0.1951,25.7911,0.8267
sub063_2drt_02_vcv2_r1_video,0.1243,29.8259,0.9084,0.1956,25.8918,0.8294
sub063_2drt_02_vcv2_r2_video,0.1222,30.2027,0.9106,0.1965,26.0866,0.8233
sub063_2drt_03_vcv3_r1_video,0.1235,29.9599,0.9109,0.1961,25.9568,0.8268
sub063_2drt_03_vcv3_r2_video,0.123,30.0469,0.9087,0.196,26.0121,0.8253
sub064_2drt_01_vcv1_r1_video,0.1262,27.5085,0.8799,0.1926,23.839,0.8169
sub064_2drt_01_vcv1_r2_video,0.1272,28.2332,0.8881,0.1942,24.5608,0.829
sub064_2drt_02_vcv2_r1_video,0.1269,27.9962,0.8823,0.1946,24.2934,0.8211
sub064_2drt_02_vcv2_r2_video,0.1279,28.48,0.8869,0.1951,24.8209,0.8306
sub064_2drt_03_vcv3_r1_video,0.1278,28.0288,0.8852,0.194,24.4125,0.8285
sub064_2drt_03_vcv3_r2_video,0.1279,27.9043,0.8829,0.1933,24.3226,0.8284
sub065_2drt_01_vcv1_r1_video,0.1286,28.5842,0.8904,0.1949,24.985,0.8317
sub065_2drt_01_vcv1_r2_video,0.1283,28.3674,0.8887,0.1938,24.7977,0.8282
sub065_2drt_02_vcv2_r1_video,0.1288,28.6531,0.8915,0.1951,25.0597,0.8318
sub065_2drt_02_vcv2_r2_video,0.1286,28.0484,0.8848,0.1929,24.5419,0.8274
sub065_2drt_03_vcv3_r1_video,0.1292,28.5227,0.8907,0.195,24.9535,0.831
sub065_2drt_03_vcv3_r2_video,0.129,28.6927,0.8902,0.1956,25.0897,0.831
sub066_2drt_01_vcv1_r1_video,0.1239,29.0606,0.8968,0.1938,25.1822,0.8288
sub066_2drt_01_vcv1_r2_video,0.1236,28.3567,0.8911,0.1907,24.6033,0.8252
sub066_2drt_02_vcv2_r1_video,0.1228,28.597,0.8963,0.191,24.7678,0.8268
sub066_2drt_02_vcv2_r2_video,0.1235,28.368,0.892,0.1908,24.5973,0.8247
sub066_2drt_03_vcv3_r1_video,0.124,28.4608,0.8933,0.1911,24.7089,0.8284
sub066_2drt_03_vcv3_r2_video,0.1245,28.4003,0.891,0.1916,24.6634,0.8283
sub067_2drt_01_vcv1_r1_video,0.1321,28.1083,0.8894,0.192,24.8758,0.839
sub067_2drt_01_vcv1_r2_video,0.133,28.4414,0.8883,0.1934,25.1951,0.8397
sub067_2drt_02_vcv2_r1_video,0.1315,28.7491,0.8941,0.1939,25.3897,0.8404
sub067_2drt_02_vcv2_r2_video,0.1325,28.1249,0.8883,0.1921,24.9069,0.8384
sub067_2drt_03_vcv3_r1_video,0.1329,28.4952,0.8925,0.1933,25.2529,0.841
sub067_2drt_03_vcv3_r2_video,0.1318,28.0951,0.8882,0.1918,24.8503,0.8376
sub068_2drt_01_vcv1_r1_video,0.1223,29.5228,0.9107,0.1956,25.4481,0.8405
sub068_2drt_01_vcv1_r2_video,0.1217,29.5329,0.9101,0.1953,25.43,0.8362
sub068_2drt_02_vcv2_r1_video,0.1221,29.5109,0.9114,0.1954,25.4349,0.8409
sub068_2drt_02_vcv2_r2_video,0.1215,29.5634,0.9077,0.1955,25.4384,0.8345
sub068_2drt_03_vcv3_r1_video,0.1228,29.6119,0.9117,0.1959,25.5633,0.8422
sub068_2drt_03_vcv3_r2_video,0.1217,29.7088,0.91,0.1956,25.5927,0.8376
sub069_2drt_01_vcv1_r1_video,0.1277,31.2332,0.9271,0.1952,27.5535,0.8579
sub069_2drt_01_vcv1_r2_video,0.1276,31.4833,0.9312,0.1958,27.7682,0.8656
sub069_2drt_02_vcv2_r1_video,0.1277,30.7433,0.9244,0.1937,27.1305,0.8585
sub069_2drt_02_vcv2_r2_video,0.1271,31.3,0.9292,0.1953,27.5777,0.8612
sub069_2drt_03_vcv3_r1_video,0.1281,31.0288,0.9254,0.1944,27.424,0.8602
sub069_2drt_03_vcv3_r2_video,0.1257,31.0586,0.9274,0.1945,27.2861,0.8556
sub070_2drt_01_vcv1_r1_video,0.1377,27.8836,0.8714,0.1942,24.9108,0.8392
sub070_2drt_01_vcv1_r2_video,0.1377,27.7642,0.8725,0.1937,24.8046,0.8402
sub070_2drt_02_vcv2_r1_video,0.1371,28.2724,0.8776,0.1951,25.2197,0.8411
sub070_2drt_02_vcv2_r2_video,0.1372,28.5615,0.8807,0.1955,25.4906,0.8441
sub070_2drt_03_vcv3_r1_video,0.1361,27.7036,0.8757,0.193,24.6731,0.8384
sub070_2drt_03_vcv3_r2_video,0.1372,27.8588,0.8783,0.1939,24.8602,0.8391
sub071_2drt_01_vcv1_r1_video,0.1299,29.0667,0.9043,0.1919,25.6856,0.8443
sub071_2drt_01_vcv1_r2_video,0.1325,28.5663,0.8976,0.1916,25.3684,0.8408
sub071_2drt_02_vcv2_r1_video,0.1298,29.0453,0.9038,0.1919,25.6701,0.8426
sub071_2drt_02_vcv2_r2_video,0.1304,29.0668,0.9018,0.193,25.6717,0.8406
sub071_2drt_03_vcv3_r1_video,0.1307,29.0856,0.9065,0.1919,25.768,0.846
sub071_2drt_03_vcv3_r2_video,0.1311,28.8926,0.9017,0.1924,25.5669,0.8412
sub072_2drt_01_vcv1_r1_video,0.1293,28.0858,0.8835,0.1942,24.5615,0.8205
sub072_2drt_01_vcv1_r2_video,0.1294,27.624,0.8741,0.1933,24.1518,0.812
sub072_2drt_02_vcv2_r1_video,0.1297,28.2614,0.8844,0.1949,24.7295,0.8201
sub072_2drt_02_vcv2_r2_video,0.1277,27.8919,0.8771,0.1939,24.2759,0.8084
sub072_2drt_03_vcv3_r1_video,0.1284,27.7441,0.8807,0.1931,24.2079,0.8153
sub072_2drt_03_vcv3_r2_video,0.1286,28.739,0.8837,0.1961,25.077,0.8141
sub073_2drt_01_vcv1_r1_video,0.1317,27.5788,0.8692,0.1948,24.1876,0.8252
sub073_2drt_01_vcv1_r2_video,0.1304,27.2507,0.8667,0.1927,23.8644,0.824
sub073_2drt_02_vcv2_r1_video,0.1315,28.3156,0.8765,0.1965,24.8326,0.8282
sub073_2drt_02_vcv2_r2_video,0.1309,27.7671,0.8719,0.1947,24.3234,0.8266
sub073_2drt_03_vcv3_r1_video,0.1297,28.3636,0.8804,0.1962,24.7746,0.8269
sub073_2drt_03_vcv3_r2_video,0.1319,27.5246,0.8693,0.194,24.1852,0.8274
sub074_2drt_01_vcv1_r1_video,0.1318,28.2749,0.884,0.1951,24.8821,0.8285
sub074_2drt_01_vcv1_r2_video,0.1313,27.4543,0.8755,0.1916,24.1791,0.8217
sub074_2drt_02_vcv2_r1_video,0.1319,27.7786,0.8777,0.1933,24.4617,0.8222
sub074_2drt_02_vcv2_r2_video,0.1335,28.5979,0.8802,0.1963,25.2521,0.8285
sub074_2drt_03_vcv3_r1_video,0.1328,27.8116,0.8798,0.1932,24.5607,0.8252
sub074_2drt_03_vcv3_r2_video,0.132,27.4069,0.8734,0.1918,24.1617,0.8218
sub075_2drt_01_vcv1_r1_video,0.1228,29.0254,0.8958,0.1926,25.1211,0.8297
sub075_2drt_01_vcv1_r2_video,0.1222,28.4306,0.8898,0.1903,24.591,0.8263
sub075_2drt_02_vcv2_r1_video,0.1225,28.559,0.8932,0.1909,24.7123,0.8271
sub075_2drt_02_vcv2_r2_video,0.123,28.7423,0.8912,0.1921,24.879,0.8287
sub075_2drt_03_vcv3_r1_video,0.1245,29.4234,0.899,0.195,25.5345,0.8365
sub075_2drt_03_vcv3_r2_video,0.1231,29.077,0.8942,0.1933,25.1684,0.8314
